asn,filtering,confidence,source,category
204649,unknown,1.0,APNIC,
45879,unknown,1.0,APNIC,
8818,unknown,1.0,APNIC,
8818,unknown,1.0,ROVISTA,
3238,unknown,1.0,APNIC,
205199,unknown,1.0,APNIC,
205199,unknown,1.0,ROVISTA,
25176,unknown,1.0,APNIC,
25176,unknown,1.0,ROVISTA,
39351,unknown,1.0,APNIC,
39351,unknown,1.0,ROVISTA,
212804,unknown,1.0,APNIC,
212804,unknown,1.0,ROVISTA,
42318,unknown,1.0,APNIC,
42318,unknown,1.0,ROVISTA,
33885,unknown,1.0,APNIC,
33885,unknown,9.9,Friends,4
33885,unknown,1.0,ROVISTA,
43922,unknown,1.0,APNIC,
62044,unknown,1.0,APNIC,
62044,unknown,1.0,ROVISTA,
31898,unknown,1.0,APNIC,
31898,unknown,1.0,Friends,3
31898,unknown,1.0,ROVISTA,
25387,unknown,1.0,APNIC,
42390,unknown,1.0,APNIC,
42390,unknown,0.7741935,ROVISTA,
211434,unknown,1.0,APNIC,
202296,unknown,1.0,APNIC,
57084,unknown,1.0,APNIC,
57084,unknown,1.0,ROVISTA,
1653,unknown,1.0,APNIC,
1653,unknown,1.0,ROVISTA,
29672,unknown,1.0,APNIC,
16117,unknown,1.0,APNIC,
16117,unknown,1.0,ROVISTA,
62183,unknown,1.0,APNIC,
62183,unknown,1.0,ROVISTA,
56736,unknown,1.0,APNIC,
44746,unknown,1.0,APNIC,
44746,unknown,1.0,ROVISTA,
3301,unknown,0.9997,APNIC,
3301,unknown,1.0,Friends,2
3301,unknown,1.0,ROVISTA,
1257,unknown,0.9992,APNIC,
2119,unknown,0.9989,APNIC,
2119,unknown,1.0,Friends,3
2119,unknown,1.0,ROVISTA,
44034,unknown,0.9984000000000001,APNIC,
44034,unknown,9.9,Friends,4
44034,unknown,1.0,ROVISTA,
8473,unknown,0.9976999999999999,APNIC,
29518,unknown,0.9973000000000001,APNIC,
29518,unknown,1.0,Friends,7
29518,unknown,1.0,ROVISTA,
28854,unknown,0.995,APNIC,
28854,unknown,1.0,ROVISTA,
48904,unknown,0.9944,APNIC,
48904,unknown,1.0,ROVISTA,
20473,unknown,0.9931,APNIC,
20473,unknown,1.0,Friends,3
20473,unknown,0.9032258,ROVISTA,
49419,unknown,0.9878,APNIC,
49419,unknown,1.0,ROVISTA,
2840,unknown,0.9795,APNIC,
2840,unknown,1.0,ROVISTA,
13335,unknown,0.9634999999999999,APNIC,
13335,unknown,1.0,Friends,6
13335,unknown,0.9354838999999999,ROVISTA,
3399,unknown,0.877,APNIC,
3399,unknown,1.0,Friends,7
3399,unknown,1.0,ROVISTA,
42675,unknown,0.8358,APNIC,
42675,unknown,1.0,Friends,7
63949,unknown,0.7243999999999999,APNIC,
63949,unknown,1.0,Friends,7
63949,unknown,1.0,ROVISTA,
16509,unknown,0.3035,APNIC,
16509,unknown,1.0,Friends,3
200701,unknown,0.1429,APNIC,
197623,unknown,0.1079,APNIC,
210644,unknown,0.0667,APNIC,
44477,unknown,0.0379,APNIC,
54203,unknown,0.0336,APNIC,
60068,unknown,0.0276,APNIC,
60068,unknown,1.0,Friends,6
60068,unknown,1.0,ROVISTA,
44769,unknown,0.0183,APNIC,
9009,unknown,0.0169,APNIC,
9009,unknown,1.0,ROVISTA,
51430,unknown,0.0151,APNIC,
51430,unknown,1.0,ROVISTA,
42708,unknown,0.0068000000000000005,APNIC,
42708,unknown,1.0,ROVISTA,
205016,unknown,0.0068000000000000005,APNIC,
212238,unknown,0.0052,APNIC,
13189,unknown,0.0026,APNIC,
